GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Data Model Library,life.qbic.datamodel.persons,Person,373,0,48,0,106,0,45,0,21,0
Data Model Library,life.qbic.datamodel.persons,Affiliation,149,0,0,0,45,0,18,0,18,0
Data Model Library,life.qbic.datamodel.persons,CollaboratorWithResponsibility,40,0,0,0,15,0,8,0,8,0
Data Model Library,life.qbic.datamodel.persons,PersonType,34,0,0,0,2,0,1,0,1,0
Data Model Library,life.qbic.datamodel.persons,RoleAt,68,0,18,0,24,0,13,0,4,0
Data Model Library,life.qbic.datamodel.persons,PersonAffiliationConnectionInfo,21,0,0,0,8,0,4,0,4,0
Data Model Library,life.qbic.datamodel.projects,ProjectInfo,152,0,0,0,42,0,17,0,17,0
Data Model Library,life.qbic.datamodel.experiments,EntityExperiment,6,0,0,0,2,0,1,0,1,0
Data Model Library,life.qbic.datamodel.experiments,ExperimentBean,59,0,0,0,22,0,11,0,11,0
Data Model Library,life.qbic.datamodel.experiments,ExtractionExperiment,6,0,0,0,2,0,1,0,1,0
Data Model Library,life.qbic.datamodel.experiments,ExperimentModel,118,0,0,0,38,0,13,0,13,0
Data Model Library,life.qbic.datamodel.experiments,OpenbisExperiment,200,0,12,0,41,0,19,0,13,0
Data Model Library,life.qbic.datamodel.experiments,ExperimentType,0,234,0,0,0,2,0,1,0,1
Data Model Library,life.qbic.datamodel.experiments,AExperiment,45,0,0,0,11,0,5,0,5,0
Data Model Library,life.qbic.datamodel.experiments,TestExperiment,6,0,0,0,2,0,1,0,1,0
Data Model Library,life.qbic.datamodel.printing,NewModelBarcodeBean,82,0,2,0,20,0,12,0,11,0
Data Model Library,life.qbic.datamodel.printing,Printer.PrinterType,74,0,6,0,13,0,7,0,4,0
Data Model Library,life.qbic.datamodel.printing,Printer,59,0,0,0,15,0,8,0,8,0
